model,method,bench,case,category,measure,phase,value
gpt2-xl,alphaedit,counterfact,10907,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,10907,generalisation,success,pre,0.5
gpt2-xl,alphaedit,counterfact,10907,specificity,acc,post,0.1
gpt2-xl,alphaedit,counterfact,10907,specificity,acc,pre,0.1
gpt2-xl,alphaedit,counterfact,10907,specificity,diff,post,-0.021022653133374057
gpt2-xl,alphaedit,counterfact,10907,specificity,diff,pre,-0.020017801408781986
gpt2-xl,alphaedit,counterfact,10907,specificity,success,post,0.0
gpt2-xl,alphaedit,counterfact,10907,specificity,success,pre,0.0
gpt2-xl,alphaedit,counterfact,10907,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,10907,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,10907,target_close_neighbour,diff,post,0.0070882446065251865
gpt2-xl,alphaedit,counterfact,10907,target_close_neighbour,diff,pre,0.005046299774441989
gpt2-xl,alphaedit,counterfact,10907,target_close_neighbour,success,post,0.7
gpt2-xl,alphaedit,counterfact,10907,target_close_neighbour,success,pre,0.7
gpt2-xl,alphaedit,counterfact,11145,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11145,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11145,efficacy,diff,post,0.9887074349955145
gpt2-xl,alphaedit,counterfact,11145,efficacy,diff,pre,-0.019477970602183942
gpt2-xl,alphaedit,counterfact,11145,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,11145,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11145,generalisation,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11145,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11145,generalisation,diff,post,0.7500297616484464
gpt2-xl,alphaedit,counterfact,11145,generalisation,diff,pre,-0.34210841696401506
gpt2-xl,alphaedit,counterfact,11145,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,11145,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11145,specificity,acc,post,0.2
gpt2-xl,alphaedit,counterfact,11145,specificity,acc,pre,0.3
gpt2-xl,alphaedit,counterfact,11145,specificity,diff,post,0.14591876248362992
gpt2-xl,alphaedit,counterfact,11145,specificity,diff,pre,-0.11829669968811896
gpt2-xl,alphaedit,counterfact,11145,specificity,success,post,0.4
gpt2-xl,alphaedit,counterfact,11145,specificity,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11145,target_close_neighbour,acc,post,0.2
gpt2-xl,alphaedit,counterfact,11145,target_close_neighbour,acc,pre,0.2
gpt2-xl,alphaedit,counterfact,11145,target_close_neighbour,diff,post,0.16340443029234636
gpt2-xl,alphaedit,counterfact,11145,target_close_neighbour,diff,pre,0.1395702654975208
gpt2-xl,alphaedit,counterfact,11145,target_close_neighbour,success,post,1.0
gpt2-xl,alphaedit,counterfact,11145,target_close_neighbour,success,pre,1.0
gpt2-xl,alphaedit,counterfact,11164,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11164,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11164,efficacy,diff,post,0.9949134397426781
gpt2-xl,alphaedit,counterfact,11164,efficacy,diff,pre,-0.0283599271248859
gpt2-xl,alphaedit,counterfact,11164,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,11164,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11164,generalisation,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11164,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11164,generalisation,diff,post,0.9855149235915177
gpt2-xl,alphaedit,counterfact,11164,generalisation,diff,pre,-0.22039988859385848
gpt2-xl,alphaedit,counterfact,11164,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,11164,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11164,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,11164,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11164,specificity,diff,post,-0.008343525908735838
gpt2-xl,alphaedit,counterfact,11164,specificity,diff,pre,-0.008446191101172219
gpt2-xl,alphaedit,counterfact,11164,specificity,success,post,0.0
gpt2-xl,alphaedit,counterfact,11164,specificity,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11164,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,11164,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11164,target_close_neighbour,diff,post,0.03081523299750689
gpt2-xl,alphaedit,counterfact,11164,target_close_neighbour,diff,pre,0.025523980542573155
gpt2-xl,alphaedit,counterfact,11164,target_close_neighbour,success,post,0.9
gpt2-xl,alphaedit,counterfact,11164,target_close_neighbour,success,pre,0.9
gpt2-xl,alphaedit,counterfact,11501,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11501,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11501,efficacy,diff,post,0.9443805094947083
gpt2-xl,alphaedit,counterfact,11501,efficacy,diff,pre,0.00010879534137151877
gpt2-xl,alphaedit,counterfact,11501,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,11501,efficacy,success,pre,1.0
gpt2-xl,alphaedit,counterfact,11501,generalisation,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11501,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11501,generalisation,diff,post,0.5549745000908227
gpt2-xl,alphaedit,counterfact,11501,generalisation,diff,pre,-0.021552695820813757
gpt2-xl,alphaedit,counterfact,11501,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,11501,generalisation,success,pre,0.5
gpt2-xl,alphaedit,counterfact,11501,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,11501,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11501,specificity,diff,post,7.222672844883456e-06
gpt2-xl,alphaedit,counterfact,11501,specificity,diff,pre,-0.00016384220359617413
gpt2-xl,alphaedit,counterfact,11501,specificity,success,post,0.8
gpt2-xl,alphaedit,counterfact,11501,specificity,success,pre,0.8
gpt2-xl,alphaedit,counterfact,11501,target_close_neighbour,acc,post,0.2
gpt2-xl,alphaedit,counterfact,11501,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11501,target_close_neighbour,diff,post,0.01977405678974353
gpt2-xl,alphaedit,counterfact,11501,target_close_neighbour,diff,pre,0.014399562278735822
gpt2-xl,alphaedit,counterfact,11501,target_close_neighbour,success,post,1.0
gpt2-xl,alphaedit,counterfact,11501,target_close_neighbour,success,pre,1.0
gpt2-xl,alphaedit,counterfact,11701,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11701,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11701,efficacy,diff,post,0.9916125017130027
gpt2-xl,alphaedit,counterfact,11701,efficacy,diff,pre,-0.252609035937154
gpt2-xl,alphaedit,counterfact,11701,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,11701,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11701,generalisation,acc,post,0.5
gpt2-xl,alphaedit,counterfact,11701,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11701,generalisation,diff,post,0.27754892230371875
gpt2-xl,alphaedit,counterfact,11701,generalisation,diff,pre,-0.0021961626609332914
gpt2-xl,alphaedit,counterfact,11701,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,11701,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11701,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,11701,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11701,specificity,diff,post,0.0032044484820759798
gpt2-xl,alphaedit,counterfact,11701,specificity,diff,pre,0.0012748311135596004
gpt2-xl,alphaedit,counterfact,11701,specificity,success,post,0.2
gpt2-xl,alphaedit,counterfact,11701,specificity,success,pre,0.1
gpt2-xl,alphaedit,counterfact,11701,target_close_neighbour,acc,post,0.1
gpt2-xl,alphaedit,counterfact,11701,target_close_neighbour,acc,pre,0.1
gpt2-xl,alphaedit,counterfact,11701,target_close_neighbour,diff,post,0.04798075340960571
gpt2-xl,alphaedit,counterfact,11701,target_close_neighbour,diff,pre,0.02508997334450207
gpt2-xl,alphaedit,counterfact,11701,target_close_neighbour,success,post,0.9
gpt2-xl,alphaedit,counterfact,11701,target_close_neighbour,success,pre,0.8
gpt2-xl,alphaedit,counterfact,11737,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11737,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11737,efficacy,diff,post,0.9998424730773541
gpt2-xl,alphaedit,counterfact,11737,efficacy,diff,pre,0.0005872954992497721
gpt2-xl,alphaedit,counterfact,11737,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,11737,efficacy,success,pre,1.0
gpt2-xl,alphaedit,counterfact,11737,generalisation,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11737,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11737,generalisation,diff,post,0.9991390807314424
gpt2-xl,alphaedit,counterfact,11737,generalisation,diff,pre,0.01692556164871288
gpt2-xl,alphaedit,counterfact,11737,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,11737,generalisation,success,pre,1.0
gpt2-xl,alphaedit,counterfact,11737,specificity,acc,post,0.2
gpt2-xl,alphaedit,counterfact,11737,specificity,acc,pre,0.2
gpt2-xl,alphaedit,counterfact,11737,specificity,diff,post,0.15129904278468487
gpt2-xl,alphaedit,counterfact,11737,specificity,diff,pre,-0.05707155908762447
gpt2-xl,alphaedit,counterfact,11737,specificity,success,post,0.6
gpt2-xl,alphaedit,counterfact,11737,specificity,success,pre,0.4
gpt2-xl,alphaedit,counterfact,11737,target_close_neighbour,acc,post,0.3
gpt2-xl,alphaedit,counterfact,11737,target_close_neighbour,acc,pre,0.3
gpt2-xl,alphaedit,counterfact,11737,target_close_neighbour,diff,post,0.1881575191247024
gpt2-xl,alphaedit,counterfact,11737,target_close_neighbour,diff,pre,0.16557444331610713
gpt2-xl,alphaedit,counterfact,11737,target_close_neighbour,success,post,1.0
gpt2-xl,alphaedit,counterfact,11737,target_close_neighbour,success,pre,1.0
gpt2-xl,alphaedit,counterfact,11792,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11792,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11792,efficacy,diff,post,0.9643326254960646
gpt2-xl,alphaedit,counterfact,11792,efficacy,diff,pre,-0.005189223735450516
gpt2-xl,alphaedit,counterfact,11792,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,11792,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11792,generalisation,acc,post,0.0
gpt2-xl,alphaedit,counterfact,11792,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11792,generalisation,diff,post,0.037394502339290044
gpt2-xl,alphaedit,counterfact,11792,generalisation,diff,pre,-0.003569314732427399
gpt2-xl,alphaedit,counterfact,11792,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,11792,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11792,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,11792,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11792,specificity,diff,post,-0.010191924262369579
gpt2-xl,alphaedit,counterfact,11792,specificity,diff,pre,-0.00898907658605045
gpt2-xl,alphaedit,counterfact,11792,specificity,success,post,0.0
gpt2-xl,alphaedit,counterfact,11792,specificity,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11792,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,11792,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11792,target_close_neighbour,diff,post,-0.0007160168051035774
gpt2-xl,alphaedit,counterfact,11792,target_close_neighbour,diff,pre,-0.0008647399784684326
gpt2-xl,alphaedit,counterfact,11792,target_close_neighbour,success,post,0.2
gpt2-xl,alphaedit,counterfact,11792,target_close_neighbour,success,pre,0.1
gpt2-xl,alphaedit,counterfact,11871,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11871,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11871,efficacy,diff,post,0.9791740211028538
gpt2-xl,alphaedit,counterfact,11871,efficacy,diff,pre,-0.00500011511505496
gpt2-xl,alphaedit,counterfact,11871,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,11871,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11871,generalisation,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11871,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11871,generalisation,diff,post,0.9178654055888443
gpt2-xl,alphaedit,counterfact,11871,generalisation,diff,pre,-0.005656832194657001
gpt2-xl,alphaedit,counterfact,11871,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,11871,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11871,specificity,acc,post,0.6
gpt2-xl,alphaedit,counterfact,11871,specificity,acc,pre,0.6
gpt2-xl,alphaedit,counterfact,11871,specificity,diff,post,-0.2496045872763765
gpt2-xl,alphaedit,counterfact,11871,specificity,diff,pre,-0.23276802644442535
gpt2-xl,alphaedit,counterfact,11871,specificity,success,post,0.0
gpt2-xl,alphaedit,counterfact,11871,specificity,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11871,target_close_neighbour,acc,post,0.3
gpt2-xl,alphaedit,counterfact,11871,target_close_neighbour,acc,pre,0.2
gpt2-xl,alphaedit,counterfact,11871,target_close_neighbour,diff,post,0.1470215186529191
gpt2-xl,alphaedit,counterfact,11871,target_close_neighbour,diff,pre,0.10432861187626497
gpt2-xl,alphaedit,counterfact,11871,target_close_neighbour,success,post,0.5
gpt2-xl,alphaedit,counterfact,11871,target_close_neighbour,success,pre,0.5
gpt2-xl,alphaedit,counterfact,11983,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,11983,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11983,efficacy,diff,post,0.9284685469663454
gpt2-xl,alphaedit,counterfact,11983,efficacy,diff,pre,-0.03565468776027049
gpt2-xl,alphaedit,counterfact,11983,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,11983,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11983,generalisation,acc,post,0.5
gpt2-xl,alphaedit,counterfact,11983,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,11983,generalisation,diff,post,0.5588673318951777
gpt2-xl,alphaedit,counterfact,11983,generalisation,diff,pre,-0.029315199454624997
gpt2-xl,alphaedit,counterfact,11983,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,11983,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,11983,specificity,acc,post,0.1
gpt2-xl,alphaedit,counterfact,11983,specificity,acc,pre,0.1
gpt2-xl,alphaedit,counterfact,11983,specificity,diff,post,-0.04344643286371397
gpt2-xl,alphaedit,counterfact,11983,specificity,diff,pre,-0.053060422747595745
gpt2-xl,alphaedit,counterfact,11983,specificity,success,post,0.2
gpt2-xl,alphaedit,counterfact,11983,specificity,success,pre,0.1
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,acc,post,0.5
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,acc,pre,0.2
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,diff,post,0.12310732484601147
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,diff,pre,0.08293220752035592
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,success,post,1.0
gpt2-xl,alphaedit,counterfact,11983,target_close_neighbour,success,pre,0.9
gpt2-xl,alphaedit,counterfact,12083,efficacy,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12083,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12083,efficacy,diff,post,0.03256633835466761
gpt2-xl,alphaedit,counterfact,12083,efficacy,diff,pre,0.0020371788632637384
gpt2-xl,alphaedit,counterfact,12083,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,12083,efficacy,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12083,generalisation,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12083,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12083,generalisation,diff,post,0.01885381188436126
gpt2-xl,alphaedit,counterfact,12083,generalisation,diff,pre,2.9296888193154193e-05
gpt2-xl,alphaedit,counterfact,12083,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,12083,generalisation,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12083,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12083,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12083,specificity,diff,post,0.0017929874956159083
gpt2-xl,alphaedit,counterfact,12083,specificity,diff,pre,0.0005174978579256692
gpt2-xl,alphaedit,counterfact,12083,specificity,success,post,1.0
gpt2-xl,alphaedit,counterfact,12083,specificity,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12083,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12083,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12083,target_close_neighbour,diff,post,0.0010040165143848148
gpt2-xl,alphaedit,counterfact,12083,target_close_neighbour,diff,pre,0.0002160343117510228
gpt2-xl,alphaedit,counterfact,12083,target_close_neighbour,success,post,1.0
gpt2-xl,alphaedit,counterfact,12083,target_close_neighbour,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12445,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,12445,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12445,efficacy,diff,post,0.9730608220791069
gpt2-xl,alphaedit,counterfact,12445,efficacy,diff,pre,0.0017176331958113221
gpt2-xl,alphaedit,counterfact,12445,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,12445,efficacy,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12445,generalisation,acc,post,1.0
gpt2-xl,alphaedit,counterfact,12445,generalisation,acc,pre,0.5
gpt2-xl,alphaedit,counterfact,12445,generalisation,diff,post,0.5921992363378196
gpt2-xl,alphaedit,counterfact,12445,generalisation,diff,pre,0.03709411157573746
gpt2-xl,alphaedit,counterfact,12445,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,12445,generalisation,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12445,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12445,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12445,specificity,diff,post,0.005838679241099814
gpt2-xl,alphaedit,counterfact,12445,specificity,diff,pre,0.0025692144695488046
gpt2-xl,alphaedit,counterfact,12445,specificity,success,post,1.0
gpt2-xl,alphaedit,counterfact,12445,specificity,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12445,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12445,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12445,target_close_neighbour,diff,post,0.00420235435455368
gpt2-xl,alphaedit,counterfact,12445,target_close_neighbour,diff,pre,0.0028510161203194172
gpt2-xl,alphaedit,counterfact,12445,target_close_neighbour,success,post,1.0
gpt2-xl,alphaedit,counterfact,12445,target_close_neighbour,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12635,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,12635,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12635,efficacy,diff,post,0.9574508661365763
gpt2-xl,alphaedit,counterfact,12635,efficacy,diff,pre,-0.0011332017497211503
gpt2-xl,alphaedit,counterfact,12635,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,12635,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,12635,generalisation,acc,post,1.0
gpt2-xl,alphaedit,counterfact,12635,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12635,generalisation,diff,post,0.7201981867814033
gpt2-xl,alphaedit,counterfact,12635,generalisation,diff,pre,-0.0024514377625666924
gpt2-xl,alphaedit,counterfact,12635,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,12635,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,12635,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12635,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12635,specificity,diff,post,-0.03924008925837809
gpt2-xl,alphaedit,counterfact,12635,specificity,diff,pre,-0.03728972694427528
gpt2-xl,alphaedit,counterfact,12635,specificity,success,post,0.0
gpt2-xl,alphaedit,counterfact,12635,specificity,success,pre,0.0
gpt2-xl,alphaedit,counterfact,12635,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12635,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12635,target_close_neighbour,diff,post,-0.0006724907505742834
gpt2-xl,alphaedit,counterfact,12635,target_close_neighbour,diff,pre,-0.0006828148109258108
gpt2-xl,alphaedit,counterfact,12635,target_close_neighbour,success,post,0.0
gpt2-xl,alphaedit,counterfact,12635,target_close_neighbour,success,pre,0.0
gpt2-xl,alphaedit,counterfact,12675,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,12675,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12675,efficacy,diff,post,0.9804177232801948
gpt2-xl,alphaedit,counterfact,12675,efficacy,diff,pre,-0.00043250963921349396
gpt2-xl,alphaedit,counterfact,12675,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,12675,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,12675,generalisation,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12675,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12675,generalisation,diff,post,0.005123023296144754
gpt2-xl,alphaedit,counterfact,12675,generalisation,diff,pre,-1.793650116381447e-06
gpt2-xl,alphaedit,counterfact,12675,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,12675,generalisation,success,pre,0.5
gpt2-xl,alphaedit,counterfact,12675,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12675,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12675,specificity,diff,post,-5.780626743248528e-05
gpt2-xl,alphaedit,counterfact,12675,specificity,diff,pre,-7.738121433592604e-05
gpt2-xl,alphaedit,counterfact,12675,specificity,success,post,0.4
gpt2-xl,alphaedit,counterfact,12675,specificity,success,pre,0.3
gpt2-xl,alphaedit,counterfact,12675,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12675,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12675,target_close_neighbour,diff,post,0.0035040698360784502
gpt2-xl,alphaedit,counterfact,12675,target_close_neighbour,diff,pre,0.0033174204796604387
gpt2-xl,alphaedit,counterfact,12675,target_close_neighbour,success,post,1.0
gpt2-xl,alphaedit,counterfact,12675,target_close_neighbour,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12756,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,12756,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12756,efficacy,diff,post,0.9955188697292581
gpt2-xl,alphaedit,counterfact,12756,efficacy,diff,pre,1.6569000798416377e-05
gpt2-xl,alphaedit,counterfact,12756,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,12756,efficacy,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12756,generalisation,acc,post,0.5
gpt2-xl,alphaedit,counterfact,12756,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12756,generalisation,diff,post,0.37576107614305404
gpt2-xl,alphaedit,counterfact,12756,generalisation,diff,pre,-0.0003065718983624024
gpt2-xl,alphaedit,counterfact,12756,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,12756,generalisation,success,pre,0.5
gpt2-xl,alphaedit,counterfact,12756,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12756,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12756,specificity,diff,post,0.01736994775851505
gpt2-xl,alphaedit,counterfact,12756,specificity,diff,pre,0.00013687297838591814
gpt2-xl,alphaedit,counterfact,12756,specificity,success,post,1.0
gpt2-xl,alphaedit,counterfact,12756,specificity,success,pre,1.0
gpt2-xl,alphaedit,counterfact,12756,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,12756,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,12756,target_close_neighbour,diff,post,0.0048658255524996015
gpt2-xl,alphaedit,counterfact,12756,target_close_neighbour,diff,pre,0.00029018560339175625
gpt2-xl,alphaedit,counterfact,12756,target_close_neighbour,success,post,0.9
