model,method,bench,case,efficacy_rate_pre,efficacy_rate_post,efficacy_magnitude_pre,efficacy_magnitude_post,efficacy_log_magnitude_pre,efficacy_log_magnitude_post,generalisation_rate_pre,generalisation_rate_post,generalisation_magnitude_pre,generalisation_magnitude_post,generalisation_log_magnitude_pre,generalisation_log_magnitude_post,specificity_rate_pre,specificity_rate_post,specificity_magnitude_pre,specificity_magnitude_post,specificity_log_magnitude_pre,specificity_log_magnitude_post
gpt2-xl,alphaedit,mquake,1997,1.0,1.0,0.0077817568668070115,0.9875378284750718,1.7685546875,11.596843719482422,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,2526,0.75,1.0,0.04867920332712039,0.26025154715155535,4.661306309700012,8.064217269420624,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,2752,0.0,0.25,-0.0051023593134906405,0.2441855243047938,-2.40866752465566,-1.439619302749634,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,696,0.0,1.0,-0.0008709429784170613,0.993187336676446,-0.8046875,17.0869140625,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,606,0.0,1.0,-0.1035693303291096,0.9464162728833417,-5.0514068603515625,3.34136962890625,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,1946,0.3333333333333333,0.3333333333333333,-0.001759156818747945,0.3212402804415211,-0.546142578125,0.7064615885416666,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row272,0.0,1.0,-0.12627165993588874,0.466530000801261,-3.154229482014974,5.347157796223958,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row528,0.0,1.0,-0.0002395587894529437,0.9517251107232508,-7.1640625,8.72412109375,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row137,1.0,1.0,0.003208769918582646,0.7725723330588845,6.2600453694661455,17.741970380147297,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row865,0.0,1.0,-0.02476231675138274,0.9687984061981041,-0.893147786458333,7.125356038411458,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row147,0.0,1.0,-0.11756553348912963,0.9855706571942322,-2.6816136837005615,6.194554766019185,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row86,0.0,1.0,-0.03284857421988085,0.9091821777322557,-5.428396606445313,6.719377136230468,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row827,0.0,1.0,-0.01320504416694285,0.5006183189588317,-4.666666666666667,10.99560546875,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row607,0.0,1.0,-0.0012723989706900757,0.4767972684513553,-4.552083333333334,10.696858723958334,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row377,1.0,1.0,0.004564265023868388,0.8903417433759591,3.274088541666667,18.88385009765625,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row454,0.0,1.0,-0.11649619885153087,0.677814687852325,-5.23046875,7.744364420572917,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row339,0.0,1.0,-0.0023953715268627183,0.9014659021283506,-1.307291666666667,11.177530924479166,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row744,0.0,1.0,-0.025324497399974125,0.9764988896347186,-5.305555725097657,4.008135986328125,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row639,0.0,1.0,-0.0110519697378152,0.758743026597214,-2.845947265625,8.453287760416666,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row437,0.0,1.0,-0.27481935244454525,0.9809848563984821,-5.447052001953125,4.345563888549805,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row273,1.0,1.0,0.004657427094103678,0.9408682338707015,2.725789388020833,6.397745768229167,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row353,0.0,1.0,-0.013343921552156357,0.5010368219500557,-0.283999721209208,4.7124786376953125,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row371,0.0,1.0,-0.10074496570563836,0.9719967661973641,-3.9469947814941406,4.9595947265625,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row646,0.0,1.0,-0.392071967288463,0.9111943896681545,-4.5052227020263675,6.348178100585938,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row129,0.0,1.0,-0.03818317167295291,0.8757459366821831,-4.704671223958334,5.40472412109375,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_popular_row602,1.0,1.0,0.009241835676083818,0.6365112902214893,3.171337890625,11.79825439453125,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row1779,1.0,1.0,4.905636647478933e-05,0.9897342119712812,0.125,16.239681243896484,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row70,0.0,1.0,-0.14565894618703365,0.9383432709400248,-1.3417775472005207,3.101274617513021,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row1359,0.0,1.0,-0.026071609284287096,0.2978584173532438,-2.174298604329427,4.879906972249349,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row1105,0.0,1.0,-0.020372426554067097,0.43532379817517597,-5.828125,15.9183349609375,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row1751,0.0,1.0,-0.16562326145772904,0.963993196041796,-4.6026611328125,4.8592987060546875,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row1170,1.0,1.0,0.006328859344154638,0.9888625344677147,1.625325520833333,21.863800048828125,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row661,0.0,1.0,-0.0021934873371075693,0.7712223452373747,-0.49869791666666696,3.2335611979166665,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row381,0.0,1.0,-0.03478966739457956,0.9711930328853537,-1.770833333333333,7.315185546875,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row317,0.0,1.0,-0.003904772583676479,0.9408078877226534,-3.19921875,8.398180643717447,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row250,1.0,1.0,0.005578493175052221,0.9929852621800421,5.938802083333333,16.492960611979168,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row455,0.0,1.0,-0.0016380856096232489,0.7935013620917796,-2.6875,5.5849609375,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row998,0.0,1.0,-0.0073084008482437735,0.6857659550171886,-1.862630208333333,21.12278111775716,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row689,0.0,1.0,-0.05868307870414052,0.9978926082591703,-1.216796875,16.24789047241211,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row787,1.0,1.0,0.0030552830599224123,0.9903601581193123,0.5263671875,7.584409077962239,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row115,1.0,1.0,0.049436598504420004,0.9825681215786457,1.1005555987358093,12.232419267296791,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row541,0.0,1.0,-0.060585402978963664,0.9157083841770057,-2.475390625,6.472797502790179,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row1317,0.0,1.0,-0.0005560721260982912,0.8074206269956826,-0.3708333333333327,10.046549479166666,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row901,0.0,1.0,-0.020561382532115497,0.1377732130381156,-3.783203125,8.45556640625,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row436,0.0,1.0,-0.029847762217127444,0.943010669505763,-1.8671875,18.566322326660156,,,,,,,,,,,,
gpt2-xl,alphaedit,ripple,ripple_random_row834,0.0,1.0,-0.224259578951463,0.9656553941274334,-3.59918212890625,3.910008748372396,,,,,,,,,,,,
gpt2-xl,alphaedit,zsre,zsre_row8097,1.0,1.0,0.06447440464413451,0.9822072657089758,1.81109619140625,5.459259033203125,1.0,1.0,0.04645956653142804,0.70858439007032,1.827239990234375,4.015846252441406,1.0,1.0,0.006711784580285734,0.006785562436228349,1.6380157470703125,1.65472412109375
gpt2-xl,alphaedit,zsre,zsre_row15599,0.0,1.0,-0.003730474832275628,0.977015244514166,-2.84375,9.726806640625,0.0,1.0,-0.006699429113395981,0.5372075218785349,-2.71875,8.19140625,0.0,0.0,-7.241250244972373e-08,-7.241250244972373e-08,-1.75,-1.75
gpt2-xl,alphaedit,zsre,zsre_row18844,1.0,1.0,8.272617254803248e-05,0.5150733144040727,0.109375,7.2279052734375,1.0,1.0,4.510696549591873e-06,0.6271125213962445,0.0078125,7.479248046875,0.0,0.0,-0.00033985135022967866,-0.00029948557651330443,-0.953125,-0.7890625
gpt2-xl,alphaedit,zsre,zsre_row5765,0.0,1.0,-0.010507272971469993,0.9886319784886363,-2.328125,9.4261474609375,0.0,1.0,-0.009521939321647186,0.9140963678577023,-1.703125,7.67626953125,0.0,0.0,-0.00010714295166188353,-0.00010383383169601415,-7.234375,-7.078125
gpt2-xl,alphaedit,zsre,zsre_row13630,1.0,1.0,0.010259279512788818,0.9940325018521798,0.911214192708333,5.597277800242106,1.0,1.0,0.011426988181385996,0.9800530573415037,1.445393880208333,6.047586441040039,1.0,1.0,0.003155053067620887,0.0032914145238057686,2.402506510416667,2.409016927083333
gpt2-xl,alphaedit,zsre,zsre_row14665,0.0,1.0,-0.008363508681729435,0.8395776723153769,-0.953125,9.8720703125,0.0,1.0,-0.004888315029085304,0.8946108756591021,-0.8125,10.169921875,0.0,0.0,-7.761381907150024e-05,-8.438110229600223e-05,-0.578125,-0.546875
gpt2-xl,alphaedit,zsre,zsre_row12754,0.0,1.0,-0.0006863684377458618,0.9973834992547583,-1.15625,10.559906005859375,0.0,1.0,-0.0002568433110064872,0.9969466610686937,-1.6875,10.746963500976562,1.0,1.0,1.5098181219104483e-08,2.7406743815571572e-08,0.25,0.375
gpt2-xl,alphaedit,zsre,zsre_row8750,0.0,1.0,-0.010631595863093615,0.03452880459956451,-4.901041666666667,5.026041666666666,0.0,1.0,-0.012674554122332954,0.009133594660705947,-5.635416666666667,3.25,0.0,0.0,-0.00032810103502023006,-0.00032472340898993086,-6.604166666666666,-6.65625
gpt2-xl,alphaedit,zsre,zsre_row4307,0.0,1.0,-0.00011688838341249955,0.9450210812302042,-0.21875,5.9720458984375,0.0,1.0,-0.0016004306072078054,0.25223377544782943,-0.6731770833333339,2.3574625651041665,0.0,0.0,-2.5090337725515555e-05,-2.4895190058936404e-05,-2.229166666666668,-2.166666666666668
gpt2-xl,alphaedit,zsre,zsre_row18406,1.0,1.0,0.0017125989813484683,0.998513313955214,2.46875,16.623512268066406,1.0,1.0,0.00041324274155373256,0.9963747969519575,1.375,15.433868408203125,1.0,1.0,0.0016993969445255165,0.0018668374551871621,6.0,6.09375
gpt2-xl,alphaedit,zsre,zsre_row10580,0.0,1.0,-0.0004183447903211338,0.42203085745515684,-2.8359375,8.2938232421875,0.0,1.0,-0.004916980226368003,0.43411512709824657,-5.96875,6.78387451171875,1.0,1.0,2.853625412742645e-05,3.60998179925607e-05,1.2265625,1.421875
gpt2-xl,alphaedit,zsre,zsre_row9259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt2-xl,alphaedit,zsre,zsre_row57,0.0,1.0,-3.024570863123265e-07,0.8810845521675665,-0.6875,6.4375,0.0,1.0,-2.8941036768614462e-06,0.7388780817178182,-0.3125,5.576171875,0.0,0.0,-2.2018885140075032e-07,-2.0383293207941573e-07,-0.625,-0.5625
gpt2-xl,alphaedit,zsre,zsre_row19060,0.0,1.0,-0.0001313864316184243,0.9483987083188208,-1.40625,13.243896484375,0.0,1.0,-6.773031261241518e-05,0.982934056558116,-0.375,13.5296630859375,0.0,0.0,-0.0001488008652892181,-0.00015336759416655844,-3.46875,-3.4375
gpt2-xl,alphaedit,zsre,zsre_row16238,0.0,1.0,-1.0283066767544824e-05,0.8380049499943059,-0.1875,15.63576889038086,0.0,1.0,-1.6897497995685038e-05,0.20475207572078988,-0.390625,10.9296875,1.0,1.0,5.249382921459419e-08,5.4160162226541247e-08,0.03125,0.03125
gpt2-xl,alphaedit,zsre,zsre_row9297,1.0,1.0,0.008842992892712374,0.9521089704747419,1.3292968749999998,10.732196044921874,1.0,1.0,0.00818457139279358,0.777795782777895,0.72900390625,6.04794921875,1.0,1.0,0.0016195113430982641,0.001599293277974798,6.1234375,6.0953125
gpt2-xl,alphaedit,zsre,zsre_row15083,1.0,1.0,0.009270581027579706,0.0963960063390054,1.7916190011160715,4.6944510323660715,1.0,1.0,0.017028666067700978,0.17998902816490242,1.764549909319196,5.1103890555245535,1.0,1.0,7.30702869968248e-05,0.00021927475165500082,0.09187360491071406,0.26077008928571477
gpt2-xl,alphaedit,zsre,zsre_row18879,1.0,1.0,0.00527888843489243,0.964313579189241,0.436279296875,9.838714599609375,1.0,1.0,0.002648326732572424,0.9510956288070266,0.41650390625,8.4500732421875,0.0,0.0,-7.625162881506789e-06,-6.363820076406657e-06,-0.78125,-0.671875
gpt2-xl,alphaedit,zsre,zsre_row495,1.0,1.0,0.005068663931417764,0.9762332221256236,1.03125,12.0384521484375,1.0,1.0,0.003274480681009448,0.000911746222222646,1.15625,8.8125,0.0,0.0,-2.8655506920433357e-07,-1.7148637514143734e-07,-0.3125,-0.1875
gpt2-xl,alphaedit,zsre,zsre_row14921,1.0,1.0,0.022966281733954614,0.9757444634105193,0.8479207356770835,4.973598639170329,1.0,1.0,0.016818922799940732,0.9654033355467345,1.1267496744791665,5.484574635823567,1.0,1.0,0.001794209791232961,0.0018254347929381922,3.255208333333333,3.215494791666667
gpt2-xl,anyedit,counterfact,11983,0.0,1.0,-0.035034467206226785,0.9999685158023633,-2.203125,18.12496852874756,0.0,0.5,-0.028673716851927166,0.4993810934268544,-2.828125,5.6405205726623535,0.1,0.8,-0.05226381362812356,0.5962332428238536,-2.9,7.685580062866211
gpt2-xl,anyedit,counterfact,13602,0.0,1.0,-0.34097088986750385,0.9952930863468175,-5.1796875,8.24554443359375,0.0,0.0,-0.23452253641349685,-0.19348582604402936,-3.125,-2.390625,0.1,0.3,-0.06303524984020961,0.05409071038127191,-2.7609375,-0.6612686157226563
gpt2-xl,anyedit,counterfact,15471,0.0,1.0,-0.38282174221897797,0.9998643771727967,-3.38671875,15.37486457824707,0.0,0.0,-0.005167339495487418,-0.0053262535636790535,-3.234375,-3.203125,0.2,0.2,0.005386846049748541,0.09763462260452574,-2.15,-0.756744384765625
gpt2-xl,anyedit,counterfact,4190,0.0,1.0,-0.0001370159167991621,0.9936927124586611,-2.0,8.931304931640625,0.0,0.0,-0.0022561344350142164,-0.00508495612841857,-1.828125,-1.734375,0.2,0.5,-0.0001988198951367333,0.29631017661348635,-1.459375,1.97801513671875
gpt2-xl,anyedit,counterfact,2414,0.0,1.0,-9.661210218331326e-07,0.9999551782688729,-0.375,23.025806107247586,0.0,0.5,-0.0001960743391723173,-0.0003306691440417861,-2.765625,-1.546875,0.7,1.0,0.00016030153640752626,0.10138076581409905,1.546875,4.89007568359375
gpt2-xl,anyedit,counterfact,11701,0.0,1.0,-0.24289220444183754,0.9990505895357472,-6.8359375,20.12405014038086,0.0,0.0,-0.0022547688772528098,-0.002573005547996933,-3.953125,-3.65625,0.1,0.6,0.001248769269764582,0.3824419059665962,-0.9328125,4.7905632019042965
gpt2-xl,anyedit,counterfact,16141,0.0,1.0,-0.08465945329979688,0.9990880188636406,-7.90625,12.311592102050781,0.0,0.0,-0.10823578000680016,-0.12911503430816257,-9.9140625,-7.96875,0.0,0.1,-0.17927342793266993,-0.06322522649910546,-7.964599609375,-5.008465576171875
gpt2-xl,anyedit,counterfact,19724,1.0,1.0,0.08125005674636333,0.9997298121059858,1.875,13.562231063842773,0.0,1.0,-0.01447320037622579,0.10189045732184025,-0.5390625,1.265625,0.5,0.5,-0.060210301249724575,0.16250571488109683,-1.59296875,1.5921432495117187
