model,method,bench,case,category,measure,phase,value
gpt2-xl,alphaedit,counterfact,13602,efficacy,diff,post,0.9955124845603165
gpt2-xl,alphaedit,counterfact,13602,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,13602,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,13602,generalisation,diff,post,0.42535372109203473
gpt2-xl,alphaedit,counterfact,13602,generalisation,acc,post,0.5
gpt2-xl,alphaedit,counterfact,13602,specificity,success,post,0.1
gpt2-xl,alphaedit,counterfact,13602,specificity,diff,post,-0.0661497530095117
gpt2-xl,alphaedit,counterfact,13602,specificity,acc,post,0.2
gpt2-xl,alphaedit,counterfact,13602,target_close_neighbour,success,post,0.2
gpt2-xl,alphaedit,counterfact,13602,target_close_neighbour,diff,post,-0.04192892370203214
gpt2-xl,alphaedit,counterfact,13602,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,15471,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,15471,efficacy,diff,pre,-0.3657318186141431
gpt2-xl,alphaedit,counterfact,15471,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,15471,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,15471,generalisation,diff,pre,-0.005283081947585409
gpt2-xl,alphaedit,counterfact,15471,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,15471,specificity,success,pre,0.2
gpt2-xl,alphaedit,counterfact,15471,specificity,diff,pre,0.005512395232580558
gpt2-xl,alphaedit,counterfact,15471,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,15471,target_close_neighbour,success,pre,1.0
gpt2-xl,alphaedit,counterfact,15471,target_close_neighbour,diff,pre,0.2552497925216935
gpt2-xl,alphaedit,counterfact,15471,target_close_neighbour,acc,pre,0.3
gpt2-xl,alphaedit,counterfact,15471,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,15471,efficacy,diff,post,0.9909466636001176
gpt2-xl,alphaedit,counterfact,15471,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,15471,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,15471,generalisation,diff,post,0.061577209158678904
gpt2-xl,alphaedit,counterfact,15471,generalisation,acc,post,0.0
gpt2-xl,alphaedit,counterfact,15471,specificity,success,post,0.6
gpt2-xl,alphaedit,counterfact,15471,specificity,diff,post,0.02937516713916851
gpt2-xl,alphaedit,counterfact,15471,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,15471,target_close_neighbour,success,post,1.0
gpt2-xl,alphaedit,counterfact,15471,target_close_neighbour,diff,post,0.263617482819277
gpt2-xl,alphaedit,counterfact,15471,target_close_neighbour,acc,post,0.3
gpt2-xl,alphaedit,counterfact,4190,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,4190,efficacy,diff,pre,-0.0001472357942219095
gpt2-xl,alphaedit,counterfact,4190,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,4190,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,4190,generalisation,diff,pre,-0.0023938588327926747
gpt2-xl,alphaedit,counterfact,4190,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,4190,specificity,success,pre,0.2
gpt2-xl,alphaedit,counterfact,4190,specificity,diff,pre,-0.00018885965733546909
gpt2-xl,alphaedit,counterfact,4190,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,4190,target_close_neighbour,success,pre,0.8
gpt2-xl,alphaedit,counterfact,4190,target_close_neighbour,diff,pre,0.007420845398691353
gpt2-xl,alphaedit,counterfact,4190,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,4190,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,4190,efficacy,diff,post,0.9815415391476243
gpt2-xl,alphaedit,counterfact,4190,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,4190,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,4190,generalisation,diff,post,0.324253843286377
gpt2-xl,alphaedit,counterfact,4190,generalisation,acc,post,0.5
gpt2-xl,alphaedit,counterfact,4190,specificity,success,post,0.2
gpt2-xl,alphaedit,counterfact,4190,specificity,diff,post,-0.00023474484667633644
gpt2-xl,alphaedit,counterfact,4190,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,4190,target_close_neighbour,success,post,0.8
gpt2-xl,alphaedit,counterfact,4190,target_close_neighbour,diff,post,0.009505730837317358
gpt2-xl,alphaedit,counterfact,4190,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,counterfact,2414,efficacy,success,pre,0.0
gpt2-xl,alphaedit,counterfact,2414,efficacy,diff,pre,-1.0947702925309163e-06
gpt2-xl,alphaedit,counterfact,2414,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,2414,generalisation,success,pre,0.0
gpt2-xl,alphaedit,counterfact,2414,generalisation,diff,pre,-0.00018400724620467088
gpt2-xl,alphaedit,counterfact,2414,generalisation,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,2414,specificity,success,pre,0.7
gpt2-xl,alphaedit,counterfact,2414,specificity,diff,pre,0.00016071127775825418
gpt2-xl,alphaedit,counterfact,2414,specificity,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,2414,target_close_neighbour,success,pre,0.9
gpt2-xl,alphaedit,counterfact,2414,target_close_neighbour,diff,pre,0.00022327334298635678
gpt2-xl,alphaedit,counterfact,2414,target_close_neighbour,acc,pre,0.0
gpt2-xl,alphaedit,counterfact,2414,efficacy,success,post,1.0
gpt2-xl,alphaedit,counterfact,2414,efficacy,diff,post,0.9978508233190089
gpt2-xl,alphaedit,counterfact,2414,efficacy,acc,post,1.0
gpt2-xl,alphaedit,counterfact,2414,generalisation,success,post,1.0
gpt2-xl,alphaedit,counterfact,2414,generalisation,diff,post,0.3901522986797057
gpt2-xl,alphaedit,counterfact,2414,generalisation,acc,post,0.5
gpt2-xl,alphaedit,counterfact,2414,specificity,success,post,0.7
gpt2-xl,alphaedit,counterfact,2414,specificity,diff,post,0.00018590744995763584
gpt2-xl,alphaedit,counterfact,2414,specificity,acc,post,0.0
gpt2-xl,alphaedit,counterfact,2414,target_close_neighbour,success,post,0.9
gpt2-xl,alphaedit,counterfact,2414,target_close_neighbour,diff,post,0.00024212379259755078
gpt2-xl,alphaedit,counterfact,2414,target_close_neighbour,acc,post,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,efficacy,success,pre,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,efficacy,diff,pre,0.15862127193183684
gpt2-xl,alphaedit,genie,screenwriter_825,efficacy,acc,pre,0.75
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_1,success,pre,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_1,diff,pre,0.14202286119522917
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_1,acc,pre,0.75
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_2,success,pre,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_2,diff,pre,0.2037114227103598
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_2,acc,pre,0.75
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_3,success,pre,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_3,diff,pre,0.1507151492873296
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_3,acc,pre,0.75
gpt2-xl,alphaedit,genie,screenwriter_825,hop_1,success,pre,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,hop_1,diff,pre,0.02688643249896003
gpt2-xl,alphaedit,genie,screenwriter_825,hop_1,acc,pre,0.6
gpt2-xl,alphaedit,genie,screenwriter_825,hop_2,success,pre,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,hop_2,diff,pre,-0.0030083054411368486
gpt2-xl,alphaedit,genie,screenwriter_825,hop_2,acc,pre,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,hop_3,success,pre,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,hop_3,diff,pre,-0.22710440596671497
gpt2-xl,alphaedit,genie,screenwriter_825,hop_3,acc,pre,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,abstract_2,hit,pre,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,abstract_3,hit,pre,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,efficacy,success,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,efficacy,diff,post,0.9992316773846669
gpt2-xl,alphaedit,genie,screenwriter_825,efficacy,acc,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_1,success,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_1,diff,post,0.8854434287977515
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_1,acc,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_2,success,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_2,diff,post,0.9901092905851473
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_2,acc,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_3,success,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_3,diff,post,0.9672323647636493
gpt2-xl,alphaedit,genie,screenwriter_825,paraphrase_3,acc,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,hop_1,success,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,hop_1,diff,post,0.017945790233910852
gpt2-xl,alphaedit,genie,screenwriter_825,hop_1,acc,post,0.6
gpt2-xl,alphaedit,genie,screenwriter_825,hop_2,success,post,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,hop_2,diff,post,-0.04404204463569815
gpt2-xl,alphaedit,genie,screenwriter_825,hop_2,acc,post,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,hop_3,success,post,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,hop_3,diff,post,-0.3553062648351943
gpt2-xl,alphaedit,genie,screenwriter_825,hop_3,acc,post,0.0
gpt2-xl,alphaedit,genie,screenwriter_825,abstract_2,hit,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_825,abstract_3,hit,post,0.0
gpt2-xl,alphaedit,genie,award_received_772,efficacy,success,pre,0.0
gpt2-xl,alphaedit,genie,award_received_772,efficacy,diff,pre,-0.0915440721858099
gpt2-xl,alphaedit,genie,award_received_772,efficacy,acc,pre,0.36363636363636365
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_1,success,pre,0.0
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_1,diff,pre,-0.12699074134649113
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_1,acc,pre,0.36363636363636365
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_2,success,pre,0.0
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_2,diff,pre,-0.11130852277683467
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_2,acc,pre,0.36363636363636365
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_3,success,pre,0.0
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_3,diff,pre,-0.025087317372576228
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_3,acc,pre,0.36363636363636365
gpt2-xl,alphaedit,genie,award_received_772,abstract_2,hit,pre,0.0
gpt2-xl,alphaedit,genie,award_received_772,abstract_3,hit,pre,0.0
gpt2-xl,alphaedit,genie,award_received_772,efficacy,success,post,1.0
gpt2-xl,alphaedit,genie,award_received_772,efficacy,diff,post,0.6069597683647218
gpt2-xl,alphaedit,genie,award_received_772,efficacy,acc,post,0.8181818181818182
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_1,success,post,1.0
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_1,diff,post,0.06343918248927384
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_1,acc,post,0.5454545454545454
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_2,success,post,1.0
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_2,diff,post,0.16489432106787635
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_2,acc,post,0.7272727272727273
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_3,success,post,1.0
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_3,diff,post,0.07142653389168868
gpt2-xl,alphaedit,genie,award_received_772,paraphrase_3,acc,post,0.7272727272727273
gpt2-xl,alphaedit,genie,award_received_772,abstract_2,hit,post,1.0
gpt2-xl,alphaedit,genie,award_received_772,abstract_3,hit,post,0.0
gpt2-xl,alphaedit,genie,screenwriter_548,efficacy,success,pre,1.0
gpt2-xl,alphaedit,genie,screenwriter_548,efficacy,diff,pre,0.09758109056603412
gpt2-xl,alphaedit,genie,screenwriter_548,efficacy,acc,pre,0.8
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_1,success,pre,1.0
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_1,diff,pre,0.17352857149907774
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_1,acc,pre,0.8
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_2,success,pre,1.0
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_2,diff,pre,0.10840090627139014
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_2,acc,pre,0.8
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_3,success,pre,1.0
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_3,diff,pre,0.10632744766863479
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_3,acc,pre,0.8
gpt2-xl,alphaedit,genie,screenwriter_548,hop_1,success,pre,0.0
gpt2-xl,alphaedit,genie,screenwriter_548,hop_1,diff,pre,-0.026761068536952842
gpt2-xl,alphaedit,genie,screenwriter_548,hop_1,acc,pre,0.6666666666666666
gpt2-xl,alphaedit,genie,screenwriter_548,abstract_2,hit,pre,0.0
gpt2-xl,alphaedit,genie,screenwriter_548,abstract_3,hit,pre,0.0
gpt2-xl,alphaedit,genie,screenwriter_548,efficacy,success,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_548,efficacy,diff,post,0.9900226441966561
gpt2-xl,alphaedit,genie,screenwriter_548,efficacy,acc,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_1,success,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_1,diff,post,0.8348567909336949
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_1,acc,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_2,success,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_2,diff,post,0.6058623076304956
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_2,acc,post,0.8
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_3,success,post,1.0
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_3,diff,post,0.4393596012099888
gpt2-xl,alphaedit,genie,screenwriter_548,paraphrase_3,acc,post,0.8
gpt2-xl,alphaedit,genie,screenwriter_548,hop_1,success,post,0.0
gpt2-xl,alphaedit,genie,screenwriter_548,hop_1,diff,post,-0.0036624756337174033
gpt2-xl,alphaedit,genie,screenwriter_548,hop_1,acc,post,0.6666666666666666
gpt2-xl,alphaedit,genie,screenwriter_548,abstract_2,hit,post,0.0
gpt2-xl,alphaedit,genie,screenwriter_548,abstract_3,hit,post,0.0
gpt2-xl,alphaedit,genie,production_company_3693,efficacy,success,pre,0.0
gpt2-xl,alphaedit,genie,production_company_3693,efficacy,diff,pre,-0.3313691690595645
gpt2-xl,alphaedit,genie,production_company_3693,efficacy,acc,pre,0.5
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_1,success,pre,0.0
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_1,diff,pre,-0.5579323852964133
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_1,acc,pre,0.5
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_2,success,pre,0.0
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_2,diff,pre,-0.6140169586084842
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_2,acc,pre,0.5
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_3,success,pre,0.0
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_3,diff,pre,-0.3269490654011746
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_3,acc,pre,0.5
gpt2-xl,alphaedit,genie,production_company_3693,hop_1,success,pre,1.0
gpt2-xl,alphaedit,genie,production_company_3693,hop_1,diff,pre,0.04642005859204189
gpt2-xl,alphaedit,genie,production_company_3693,hop_1,acc,pre,0.6666666666666666
gpt2-xl,alphaedit,genie,production_company_3693,abstract_1,success,pre,0.0
gpt2-xl,alphaedit,genie,production_company_3693,abstract_1,diff,pre,-0.5861042247276075
gpt2-xl,alphaedit,genie,production_company_3693,abstract_1,acc,pre,0.0
gpt2-xl,alphaedit,genie,production_company_3693,abstract_2,hit,pre,0.0
gpt2-xl,alphaedit,genie,production_company_3693,abstract_3,hit,pre,0.0
gpt2-xl,alphaedit,genie,production_company_3693,efficacy,success,post,1.0
gpt2-xl,alphaedit,genie,production_company_3693,efficacy,diff,post,0.9866749820932976
gpt2-xl,alphaedit,genie,production_company_3693,efficacy,acc,post,1.0
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_1,success,post,1.0
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_1,diff,post,0.9297975151253358
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_1,acc,post,1.0
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_2,success,post,1.0
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_2,diff,post,0.9468999689264568
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_2,acc,post,1.0
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_3,success,post,1.0
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_3,diff,post,0.9059404761541814
gpt2-xl,alphaedit,genie,production_company_3693,paraphrase_3,acc,post,1.0
gpt2-xl,alphaedit,genie,production_company_3693,hop_1,success,post,1.0
gpt2-xl,alphaedit,genie,production_company_3693,hop_1,diff,post,0.02261246694498038
gpt2-xl,alphaedit,genie,production_company_3693,hop_1,acc,post,0.6666666666666666
gpt2-xl,alphaedit,genie,production_company_3693,abstract_1,success,post,0.0
gpt2-xl,alphaedit,genie,production_company_3693,abstract_1,diff,post,-0.4910889679219646
gpt2-xl,alphaedit,genie,production_company_3693,abstract_1,acc,post,0.0
gpt2-xl,alphaedit,genie,production_company_3693,abstract_2,hit,post,1.0
gpt2-xl,alphaedit,genie,production_company_3693,abstract_3,hit,post,0.0
gpt2-xl,alphaedit,genie,country_4458,efficacy,success,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,efficacy,diff,pre,-0.08263569845357104
gpt2-xl,alphaedit,genie,country_4458,efficacy,acc,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_1,success,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_1,diff,pre,-0.37027552436866545
gpt2-xl,alphaedit,genie,country_4458,paraphrase_1,acc,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_2,success,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_2,diff,pre,-0.00010580268843964793
gpt2-xl,alphaedit,genie,country_4458,paraphrase_2,acc,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_3,success,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_3,diff,pre,-0.3106928678897986
gpt2-xl,alphaedit,genie,country_4458,paraphrase_3,acc,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,hop_1,success,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,hop_1,diff,pre,-0.009106210820703913
gpt2-xl,alphaedit,genie,country_4458,hop_1,acc,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,abstract_1,success,pre,1.0
gpt2-xl,alphaedit,genie,country_4458,abstract_1,diff,pre,0.04655074861691155
gpt2-xl,alphaedit,genie,country_4458,abstract_1,acc,pre,0.8571428571428571
gpt2-xl,alphaedit,genie,country_4458,abstract_2,hit,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,abstract_3,hit,pre,0.0
gpt2-xl,alphaedit,genie,country_4458,efficacy,success,post,1.0
gpt2-xl,alphaedit,genie,country_4458,efficacy,diff,post,0.9918540353647385
gpt2-xl,alphaedit,genie,country_4458,efficacy,acc,post,1.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_1,success,post,1.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_1,diff,post,0.6652194230467166
gpt2-xl,alphaedit,genie,country_4458,paraphrase_1,acc,post,1.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_2,success,post,1.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_2,diff,post,0.001992903384683469
gpt2-xl,alphaedit,genie,country_4458,paraphrase_2,acc,post,0.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_3,success,post,1.0
gpt2-xl,alphaedit,genie,country_4458,paraphrase_3,diff,post,0.9940371302936009
gpt2-xl,alphaedit,genie,country_4458,paraphrase_3,acc,post,1.0
gpt2-xl,alphaedit,genie,country_4458,hop_1,success,post,1.0
gpt2-xl,alphaedit,genie,country_4458,hop_1,diff,post,0.01525481282898763
gpt2-xl,alphaedit,genie,country_4458,hop_1,acc,post,0.0
gpt2-xl,alphaedit,genie,country_4458,abstract_1,success,post,0.0
gpt2-xl,alphaedit,genie,country_4458,abstract_1,diff,post,-0.5285183818482566
gpt2-xl,alphaedit,genie,country_4458,abstract_1,acc,post,0.8571428571428571
gpt2-xl,alphaedit,genie,country_4458,abstract_2,hit,post,1.0
gpt2-xl,alphaedit,genie,country_4458,abstract_3,hit,post,0.0
gpt2-xl,alphaedit,mquake,2640,efficacy,success,pre,0.0
gpt2-xl,alphaedit,mquake,2640,efficacy,diff,pre,-0.4591030946337174
gpt2-xl,alphaedit,mquake,2640,efficacy,acc,pre,0.39166666666666666
gpt2-xl,alphaedit,mquake,2640,single_hop,success,pre,0.0
gpt2-xl,alphaedit,mquake,2640,single_hop,diff,pre,-0.06389404976630379
gpt2-xl,alphaedit,mquake,2640,single_hop,acc,pre,0.5583333333333333
gpt2-xl,alphaedit,mquake,2640,multihop,hit,pre,0.0
gpt2-xl,alphaedit,mquake,2640,efficacy,success,post,1.0
gpt2-xl,alphaedit,mquake,2640,efficacy,diff,post,0.9236144669927033
gpt2-xl,alphaedit,mquake,2640,efficacy,acc,post,1.0
gpt2-xl,alphaedit,mquake,2640,single_hop,success,post,1.0
gpt2-xl,alphaedit,mquake,2640,single_hop,diff,post,0.9543339604019533
gpt2-xl,alphaedit,mquake,2640,single_hop,acc,post,1.0
gpt2-xl,alphaedit,mquake,2640,multihop,hit,post,0.0
gpt2-xl,alphaedit,mquake,248,efficacy,success,pre,0.0
gpt2-xl,alphaedit,mquake,248,efficacy,diff,pre,-0.012447035637208115
gpt2-xl,alphaedit,mquake,248,efficacy,acc,pre,0.2222222222222222
gpt2-xl,alphaedit,mquake,248,single_hop,success,pre,0.0
gpt2-xl,alphaedit,mquake,248,single_hop,diff,pre,-0.012447035637208115
gpt2-xl,alphaedit,mquake,248,single_hop,acc,pre,0.1111111111111111
gpt2-xl,alphaedit,mquake,248,multihop,hit,pre,0.0
gpt2-xl,alphaedit,mquake,248,efficacy,success,post,1.0
gpt2-xl,alphaedit,mquake,248,efficacy,diff,post,0.4405707405903622
gpt2-xl,alphaedit,mquake,248,efficacy,acc,post,0.7777777777777778
gpt2-xl,alphaedit,mquake,248,single_hop,success,post,1.0
gpt2-xl,alphaedit,mquake,248,single_hop,diff,post,0.437151698945751
gpt2-xl,alphaedit,mquake,248,single_hop,acc,post,0.3888888888888889
gpt2-xl,alphaedit,mquake,248,multihop,hit,post,0.0
gpt2-xl,alphaedit,mquake,2121,efficacy,success,pre,1.0
gpt2-xl,alphaedit,mquake,2121,efficacy,diff,pre,0.040776061156685306
gpt2-xl,alphaedit,mquake,2121,efficacy,acc,pre,0.6666666666666666
gpt2-xl,alphaedit,mquake,2121,single_hop,success,pre,1.0
gpt2-xl,alphaedit,mquake,2121,single_hop,diff,pre,0.040776061156685306
gpt2-xl,alphaedit,mquake,2121,single_hop,acc,pre,0.7222222222222222
gpt2-xl,alphaedit,mquake,2121,multihop,hit,pre,0.0
gpt2-xl,alphaedit,mquake,2121,efficacy,success,post,1.0
gpt2-xl,alphaedit,mquake,2121,efficacy,diff,post,0.9905243505463767
gpt2-xl,alphaedit,mquake,2121,efficacy,acc,post,1.0
gpt2-xl,alphaedit,mquake,2121,single_hop,success,post,1.0
